avg_cadence,avg_heart_rate,avg_power,avg_speed,enhanced_avg_speed,enhanced_max_speed,ftp,id,intensity_factor,max_cadence,max_heart_rate,max_power,max_speed,normalized_power,threshold_power,timestamp,total_ascent,total_calories,total_cycles,total_descent,total_distance,total_elapsed_time,total_fat_calories,total_timer_time,training_stress_score
81,,,8.528,8.528,14.768,202,4917647,,119,,,14.768,,,2016-09-11 15:23:47,261,1210.0,4614,265.0,31614.33,3761.93,0.0,3706.949,
82,,,9.34,9.34,11.517,189,4917647,,99,,,11.517,,,2014-12-07 16:53:06,4,1256.0,4925,10.0,33738.1,3612.309,0.0,3612.309,
83,,183,9.998,9.998,11.355,202,4917647,0.488,103,,248,11.355,195,400,2016-06-21 16:47:34,0,321.0,2448,0.0,17551.41,1755.475,,1755.475,11.4
83,,168,9.73,9.73,11.822,202,4917647,0.859,107,,280,11.822,172,200,2016-03-27 09:11:03,12,700.0,5834,10.0,40580.2,4195.717,,4170.6,85.0
93,,,8.091,8.091,11.807,189,4917647,,109,,,11.807,,,2015-02-20 17:19:45,7,960.0,5528,0.0,28951.6,3603.753,0.0,3578.463,
83,,,7.742,7.742,12.676,189,4917647,,106,,,12.676,,,2014-10-14 12:30:12,2,615.0,3295,0.0,18672.44,2411.805,0.0,2411.805,
83,,,7.898,7.898,15.331,324,4917647,,113,,,15.331,,,2017-10-15 09:27:47,794,2481.0,10775,767.0,66801.79,10394.802,0.0,8457.906,
75,,,8.234,8.234,15.389,202,4917647,,97,,,15.389,,,2016-06-10 06:23:27,243,1073.0,4303,251.0,29777.2,3839.422,0.0,3616.26,
83,,,7.368,7.368,10.182,202,4917647,,114,,,10.182,,,2016-02-03 13:45:17,2,738.0,4133,8.0,22141.9,3010.176,0.0,3005.173,
78,,,8.361,8.361,17.14,324,4917647,,107,,,17.14,,,2017-06-25 09:11:54,1024,3909.0,15174,1035.0,105515.08,13383.954,0.0,12619.949,
79,,,7.691,7.691,15.306,242,4917647,,108,,,15.306,,,2016-11-05 16:31:54,567,1964.0,8548,596.0,53623.36,7282.395,0.0,6972.408,
32,,,0.907,0.907,1.623,324,4917647,,36,,,1.623,,,2017-07-30 06:06:47,,777.0,2439,,4048.59,4468.788,,4462.134,
28,,,0.001,0.001,0.193,202,4917647,,35,,,0.193,,,2016-04-17 07:19:29,0,0.0,322,0.0,0.73,678.811,,678.811,
79,,,8.019,8.019,11.264,189,4917647,,98,,,11.264,,,2014-08-24 05:44:22,5,979.0,4757,2.0,29066.63,3624.676,0.0,3624.676,
83,,155,9.393,9.393,11.113,202,4917647,0.407,103,,222,11.113,163,400,2016-06-30 12:09:51,0,462.0,4168,0.0,28081.3,2991.704,,2989.744,13.7
78,,,7.855,7.855,14.528,242,4917647,,107,,,14.528,,,2016-11-13 12:03:27,730,2622.0,10857,733.0,70396.09,9761.428,0.0,8961.682,
74,,,7.245,7.245,15.268,189,4917647,,106,,,15.268,,,2015-03-22 17:41:15,607,1876.0,7770,599.0,49117.51,7030.272,0.0,6779.587,
86,,152,8.557,8.557,12.848,242,4917647,0.499,100,,353,12.848,199,400,2016-11-15 20:11:17,2,553.0,5100,0.0,30861.32,3606.515,,3606.515,24.2
77,,,7.351,7.351,15.592,189,4917647,,117,,,15.592,,,2014-07-24 08:24:09,703,2413.0,10549,668.0,64806.12,8856.471,0.0,8815.51,
80,,,7.493,7.493,12.306,189,4917647,,99,,,12.306,,,2014-08-21 16:56:29,2,578.0,3238,15.0,18120.49,603976.486,0.0,2418.344,
79,,,8.603,8.603,15.009,324,4917647,,113,,,15.009,,,2017-06-22 18:34:30,309,1607.0,6061,313.0,43479.64,5143.526,0.0,5054.211,
69,,,7.132,7.132,13.415,193,4917647,,113,,,13.415,,,2015-11-01 11:12:43,577,2515.0,10370,584.0,72583.8,12144.218,0.0,10177.547,
87,,,8.094,8.094,10.425,189,4917647,,99,,,10.425,,,2015-03-20 07:37:58,2,958.0,5198,0.0,29164.35,3603.178,0.0,3603.178,
,,,5.897,5.897,14.873,242,4917647,,,,,14.873,,,2018-02-23 19:01:59,939,2879.0,,938.0,79700.69,13515.247,,13515.247,
84,,,7.859,7.859,14.813,324,4917647,,116,,,14.813,,,2017-11-26 10:24:42,650,1975.0,8715,659.0,52213.31,8261.173,0.0,6643.998,
77,,,8.171,8.171,14.322,207,4917647,,112,,,14.322,,,2016-10-14 12:31:50,270,1174.0,4514,278.0,31667.81,3889.64,0.0,3875.645,
72,,,8.21,8.21,12.389,189,4917647,,89,,,12.389,,,2014-05-18 20:50:12,4,712.0,3267,0.0,22266.49,2711.972,0.0,2711.972,
86,,194,10.197,10.197,12.774,202,4917647,1.031,102,,373,12.774,206,200,2016-05-18 12:21:45,0,625.0,4632,0.0,32888.34,3225.242,,3225.242,94.3
77,,,7.905,7.905,15.711,324,4917647,,107,,,15.711,,,2017-07-09 09:59:15,942,4444.0,19033,937.0,126159.46,17153.097,0.0,15958.777,
,,,8.513,8.513,15.013,202,4917647,,,,,15.013,,,2016-09-06 18:36:09,434,2158.0,,420.0,57236.21,6751.686,,6723.686,
